OBJECTID,Juvenile_race_ethnicity,Juvenile_gender,status,status_reason,intake_date,CreationDate,Creator,EditDate,Editor
2,Black,Male,Pending,,2016-10-19T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
3,Black,Male,Pending,,2016-10-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
4,White,Male,Active,,2016-10-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
5,Black,Male,Pending,,2016-10-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
6,White,Male,Pending,,2016-10-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
7,Hispanic,Male,Active,,2016-10-12T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
8,Black,Male,Pending,,2016-10-12T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
9,Hispanic,Male,Active,,2016-10-12T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
10,White,Male,Pending,,2016-10-11T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
11,Black,Male,Active,,2016-10-11T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
12,Black,Female,Active,,2016-10-11T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
13,Black,Female,Active,,2016-10-11T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
14,White,Male,Active,,2016-10-10T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
15,White,Female,Active,,2016-10-10T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
16,White,Female,Active,,2016-10-10T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
17,White,Male,Active,,2016-10-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
18,Black,Male,Active,,2016-10-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
19,Black,Male,Active,,2016-10-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
20,White,Female,Active,,2016-10-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
21,Black,Male,Active,,2016-10-05T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
22,M,Female,Rejected at screening,Unable to make Contact,2016-10-05T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
23,Black,Male,Rejected at screening,Unable to make Contact,2016-10-05T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
24,Black,Female,Active,,2016-10-04T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
25,Black,Male,Pending,,2016-10-04T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
26,Black,Male,Active,,2016-10-03T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
27,White,Male,Active,,2016-10-03T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
28,Black,Female,Active,,2016-09-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
29,Black,Female,Inactive-successful,,2016-09-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
30,Black,Female,Active,,2016-09-28T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
31,Black,Female,Active,,2016-09-28T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
32,Black,Male,Active,,2016-09-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
33,Black,Female,Inactive-successful,,2016-09-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
34,Black,Female,Active,,2016-09-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
35,Black,Male,Rejected at screening,Unwilling To Participate,2016-09-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
36,Black,Male,Active,,2016-09-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
37,Black,Male,Active,,2016-09-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
38,Black,Female,Inactive-successful,,2016-09-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
39,Black,Male,Active,,2016-09-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
40,Black,Female,Active,,2016-09-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
41,Black,Female,Active,,2016-09-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
42,Black,Female,Inactive-successful,,2016-09-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
43,Black,Female,Inactive-successful,,2016-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
44,Black,Male,Active,,2016-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
45,Hispanic,Male,Active,,2016-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
46,Hispanic,Female,Rejected at screening,,2016-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
47,Black,Male,Active,,2016-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
48,Black,Female,Inactive-successful,,2016-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
49,Black,Male,Rejected at screening,Previous Charges,2016-09-23T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
50,White,Female,Active,,2016-09-22T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
51,Black,Male,Active,,2016-09-21T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
52,Black,Male,Active,,2016-09-21T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
53,Black,Male,Active,,2016-09-20T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
54,Black,Male,Active,,2016-09-20T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
55,Black,Male,Active,,2016-09-19T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
56,Black,Female,Active,,2016-09-19T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
57,Black,Female,Active,,2016-09-19T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
58,Black,Male,Active,,2016-09-19T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
59,White,Male,Active,,2016-09-19T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
60,Black,Female,Active,,2016-09-15T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
61,Black,Male,Active,,2016-09-15T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
62,Black,Female,Active,,2016-09-15T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
63,Black,Male,Active,,2016-09-14T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
64,Black,Male,Active,,2016-09-14T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
65,Black,Male,Active,,2016-09-14T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
66,Black,Female,Active,,2016-09-13T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
67,White,Female,Rejected at screening,Does not live in Mecklenburg County,2016-09-12T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
68,White,Female,Active,,2016-09-12T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
69,Black,Female,Inactive-successful,,2016-09-12T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
70,Black,Male,Inactive-successful,,2016-09-12T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
71,Black,Male,Inactive-successful,,2016-09-12T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
72,Black,Male,Active,,2016-09-12T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
73,Black,Male,Active,Unwilling To Participate,2016-09-09T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
74,Black,Female,Active,,2016-09-09T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
75,Hispanic,Male,Active,,2016-09-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
76,Black,Female,Active,,2016-09-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
77,White,Male,Active,,2016-09-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
78,White,Male,Active,,2016-09-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
79,White,Male,Active,,2016-09-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
80,Black,Female,Active,,2016-09-02T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
81,Black,Female,Active,,2016-09-02T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
82,White,Female,Inactive-successful,,2016-08-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
83,Black,Female,Active,,2016-08-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
84,Hispanic,Male,Inactive-successful,No Further Action,2016-08-25T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
85,Asian,Male,Active,,2016-08-25T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
86,Black,Female,Active,,2016-08-25T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
87,Hispanic,Male,Rejected at screening,Unable to make Contact,2016-08-17T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
88,White,Female,Active,,2016-08-15T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
89,Black,Male,Active,,2016-08-10T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
90,Black,Male,Inactive-successful,,2016-08-10T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
91,Black,Male,Active,,2016-08-10T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
92,Black,Male,Inactive-successful,,2016-08-10T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
93,Hispanic,Male,Inactive-successful,,2016-08-05T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
94,Black,Male,Active,,2016-08-01T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
95,White,Male,Active,,2016-08-01T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
96,Black,Female,Active,,2016-08-01T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
97,Black,Female,Active,,2016-08-01T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
98,Black,Female,Active,,2016-07-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
99,Hispanic,Female,Inactive-successful,,2016-07-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
100,Hispanic,Female,Inactive-successful,,2016-07-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
101,Black,Female,Inactive-successful,,2016-07-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
102,Black,Female,Inactive-Unsuccessful,,2016-07-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
103,Black,Male,Active,,2016-07-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
104,Black,Female,Rejected at screening,,2016-07-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
105,White,Male,Inactive-successful,No Further Action,2016-07-21T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
106,White,Male,Inactive-successful,,2016-07-21T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
107,Black,Female,Inactive-successful,,2016-07-19T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
108,Black,Female,Rejected at screening,Failure to Appear,2016-07-19T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
109,White,Female,Inactive-successful,,2016-07-18T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
110,Black,Female,Active,,2016-07-18T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
111,Black,Female,Rejected at screening,Unable to make Contact,2016-07-13T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
112,White,Male,Active,,2016-07-13T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
113,Hispanic,Male,Inactive-successful,,2016-07-12T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
114,White,Female,Active,,2016-07-11T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
115,Black,Male,Inactive-successful,,2016-07-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
116,White,Female,Rejected at screening,Unable to make Contact,2016-07-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
117,Black,Female,Inactive-successful,,2016-07-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
118,Black,Male,Active,,2016-07-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
119,Black,Female,Inactive-Unsuccessful,New Charge,2016-07-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
120,Hispanic,Male,Inactive-successful,,2016-07-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
121,White,Male,Rejected at screening,Unwilling To Participate,2016-07-05T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
122,Black,Female,Inactive-successful,,2016-06-30T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
123,Black,Female,Inactive-Unsuccessful,Unwilling To Participate,2016-06-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
124,Hispanic,Male,Inactive-successful,,2016-06-29T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
125,Black,Male,Rejected at screening,Failure to Appear,2016-06-28T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
126,Black,Female,Inactive-successful,,2016-06-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
127,White,Female,Inactive-successful,,2016-06-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
128,Black,Female,Inactive-successful,,2016-06-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
129,Black,Female,Inactive-successful,,2016-06-27T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
130,Black,Male,Active,,2016-06-24T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
131,Black,Female,Inactive-successful,,2016-06-20T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
132,Black,Female,Active,,2016-06-20T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
133,White,Male,Inactive-successful,,2016-06-20T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
134,Black,Male,Inactive-successful,,2016-06-20T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
135,Black,Female,Active,,2016-06-20T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
136,White,Male,Inactive-successful,,2016-06-15T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
137,Black,Male,Inactive-successful,,2016-06-15T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
138,Black,Male,Inactive-successful,,2016-06-13T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
139,Black,Male,Rejected at screening,Previous Charges,2016-06-13T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
140,White,Female,Inactive-successful,,2016-06-13T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
141,Black,Female,Rejected at screening,Unable to make Contact,2016-06-13T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
142,Black,Male,Inactive-successful,,2016-06-13T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
143,Black,Male,Inactive-successful,,2016-06-13T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
144,Black,Male,Inactive-successful,,2016-06-13T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
145,Black,Male,Inactive-successful,,2016-06-13T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
146,White,Female,Inactive-successful,,2016-06-13T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
147,White,Male,Rejected at screening,No Further Action,2016-06-13T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
148,Black,Male,Active,,2016-06-10T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
149,Black,Male,Inactive-successful,,2016-06-08T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
150,Black,Male,Inactive-successful,,2016-06-08T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
151,Hispanic,Female,Inactive-successful,,2016-06-08T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
152,Black,Female,Inactive-successful,,2016-06-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
153,Black,Female,Active,,2016-06-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
154,White,Male,Inactive-successful,,2016-06-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
155,Hispanic,Male,Inactive-Unsuccessful,New Charge,2016-06-07T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
156,Black,Female,Inactive-successful,,2016-06-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
157,Black,Female,Inactive-successful,,2016-06-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
158,Black,Female,Rejected at screening,Failure to Appear,2016-06-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
159,Black,Male,Inactive-successful,,2016-06-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
160,Black,Male,Inactive-successful,,2016-06-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
161,Hispanic,Male,Inactive-successful,,2016-06-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
162,Hispanic,Male,Inactive-successful,,2016-06-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
163,Black,Female,Inactive-successful,,2016-06-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
164,White,Male,Inactive-successful,,2016-06-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
165,Black,Female,Inactive-successful,,2016-06-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
166,Black,Female,Inactive-successful,,2016-06-06T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
167,Black,Female,Inactive-successful,,2016-06-03T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
168,Black,Female,Inactive-successful,,2016-06-03T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
169,Hispanic,Female,Inactive-successful,,2016-06-03T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
170,Black,Female,Inactive-successful,,2016-06-02T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
171,Black,Female,Inactive-successful,,2016-06-02T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
172,Black,Female,Inactive-successful,,2016-06-02T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
173,Hispanic,Male,Inactive-successful,,2016-06-01T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
174,White,Female,Rejected at screening,Unwilling To Participate,2016-05-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
175,Black,Male,Inactive-successful,,2016-05-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
176,Black,Male,Inactive-successful,,2016-05-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
177,Hispanic,Male,Inactive-successful,,2016-05-26T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
